
1.1.true

ReqID	a(SrcNode)	i(DesNode)	k(Path)	p(Ratio)	dtTrans	tArrival	start	end	timeSer(PSO)	t_wait	t_proc	t_serv	moved_data
28	V8	V12	V8	0.0606060606060606	0.1212121212121212	7.121212121212121	7.121212121212121	8.121212121212121	1.1212121212121215	0.0	1.0	1.121212121212121	0.0
28	V8	V13	V8	0.029832420840140716	0.05966484168028143	7.059664841680282	7.121212121212121	7.613447065074443	0.6731119067547251	0.06154727953183947	0.4922349438623215	0.6134470650744424	0.0
9	V6	V1	V6	0.0606060606060606	0.1212121212121212	8.121212121212121	8.121212121212121	9.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
9	V6	V5	V6	0.0606060606060606	0.1212121212121212	8.121212121212121	8.121212121212121	9.121212121212121	1.121212121212122	0.0	1.0	1.121212121212121	0.0
9	V6	V6	V6	0.6969696969696972	0.0	8.0	8.0	9.0	11.500000000000005	0.0	1.0	1.0	318.1818181818183
9	V6	V10	V6	0.0606060606060606	0.1212121212121212	8.121212121212121	8.121212121212121	9.121212121212121	1.121212121212121	0.0	1.0	1.121212121212121	0.0
9	V6	V11	V6	0.0606060606060606	0.1212121212121212	8.121212121212121	8.121212121212121	9.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
19	V9	V3	V9	0.0606060606060606	0.1212121212121212	8.121212121212121	8.121212121212121	9.121212121212121	2.242424242424243	0.0	1.0	1.121212121212121	0.0
19	V9	V4	V9	0.0606060606060606	0.1212121212121212	8.121212121212121	8.121212121212121	9.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
19	V9	V9	V9	0.8181818181818183	0.0	8.0	8.0	9.0	13.500000000000004	0.0	1.0	1.0	378.78787878787887
19	V9	V14	V9	0.0606060606060606	0.1212121212121212	8.121212121212121	8.121212121212121	9.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
29	V8	V2	V8	0.0606060606060606	0.1212121212121212	8.121212121212121	8.121212121212121	9.121212121212121	1.2424242424242438	0.0	1.0	1.121212121212121	0.0
29	V8	V3	V8	0.0606060606060606	0.1212121212121212	8.121212121212121	9.121212121212121	10.121212121212121	2.242424242424243	1.0	1.0	2.121212121212121	0.0
29	V8	V8	V8	0.6969696969696972	0.0	8.0	8.0	9.0	11.500000000000005	0.0	1.0	1.0	318.1818181818183
29	V8	V12	V8	0.0606060606060606	0.1212121212121212	8.121212121212121	8.121212121212121	9.121212121212121	1.2424242424242424	0.0	1.0	1.121212121212121	0.0
29	V8	V13	V8	0.0606060606060606	0.1212121212121212	8.121212121212121	8.121212121212121	9.121212121212121	1.121212121212122	0.0	1.0	1.121212121212121	0.0
10	V6	V1	V6	0.03897406128182791	0.07794812256365583	9.077948122563656	9.121212121212121	9.764284132362281	0.8422322549259383	0.04326399864846486	0.64307201115016	0.7642841323622807	0.0
10	V6	V2	V6	0.0606060606060606	0.1212121212121212	9.121212121212121	9.121212121212121	10.121212121212121	2.242424242424244	0.0	1.0	1.121212121212121	0.0
10	V6	V5	V6	0.0606060606060606	0.1212121212121212	9.121212121212121	9.121212121212121	10.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
10	V6	V6	V6	0.6579956356878693	0.0	9.0	9.0	10.0	10.856927988849845	0.0	1.0	1.0	298.6947875409044
10	V6	V10	V6	0.0606060606060606	0.1212121212121212	9.121212121212121	9.121212121212121	10.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
10	V6	V11	V6	0.0606060606060606	0.1212121212121212	9.121212121212121	9.121212121212121	10.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
20	V9	V3	V9	0.0606060606060606	0.1212121212121212	9.121212121212121	11.121212121212121	12.121212121212121	3.242424242424243	2.0	1.0	3.121212121212121	0.0
20	V9	V4	V9	0.0606060606060606	0.1212121212121212	9.121212121212121	9.121212121212121	10.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
20	V9	V9	V9	0.8181818181818183	0.0	9.0	9.0	10.0	13.500000000000004	0.0	1.0	1.0	378.78787878787887
20	V9	V14	V9	0.0606060606060606	0.1212121212121212	9.121212121212121	9.121212121212121	10.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
30	V8	V2	V8	0.0606060606060606	0.1212121212121212	9.121212121212121	10.121212121212121	11.121212121212121	2.242424242424244	1.0	1.0	2.121212121212121	0.0
30	V8	V3	V8	0.0606060606060606	0.1212121212121212	9.121212121212121	10.121212121212121	11.121212121212121	3.242424242424243	1.0	1.0	2.121212121212121	0.0
30	V8	V8	V8	0.6969696969696972	0.0	9.0	9.0	10.0	11.500000000000005	0.0	1.0	1.0	318.1818181818183
30	V8	V12	V8	0.0606060606060606	0.1212121212121212	9.121212121212121	9.121212121212121	10.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
30	V8	V13	V8	0.0606060606060606	0.1212121212121212	9.121212121212121	9.121212121212121	10.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0

 RSU TOPO 

ReqID	a(SrcNode)	i(DesNode)	k(Path)	p(Ratio)	dtTrans	tArrival	start	end	timeSer(PSO)	t_wait	t_proc	t_serv	moved_data	t_trans_vr	t_end_real
1	V6-R1	R4	R1	1.0	1.4165878747371878	2.9543878706864968	2.9543878706864968	4.123072867344677	2.585272871395368	0.0	1.1686849966581798	2.5852728713953677	0.0	1.537799995949309	
11	V9-R2	R2	R2	1.0	0.0	1.7575757575757578	2.932099947000964	4.282099947000964	2.6206753185072853	1.174524189425206	1.3500000000000005	2.5245241894252066	0.0	1.7575757575757578	
21	V8-R2	R2	R2	1.0	0.0	1.6614246284936787	1.6614246284936787	2.932099947000964	2.6206753185072853	0.0	1.2706753185072852	1.2706753185072852	0.0	1.6614246284936787	
2	V6-R1	R4	R1	1.0	1.355078681445441	3.8313694841030035	4.123072867344677	5.241012779537165	3.6417035902961095	0.2917033832416731	1.1179399121924884	2.7647219768796027	0.0	1.476290802657562	
12	V9-R2	R1	R2	1.0	1.6363636363636365	4.3939393939393945	4.3939393939393945	5.743939393939395	2.9863636363636368	0.0	1.3500000000000005	2.986363636363637	0.0	1.7575757575757578	
22	V8-R2	R5	R2	1.0	1.3791136447693748	3.879439410750871	3.879439410750871	5.017208167685606	2.516882401704109	0.0	1.1377687569347348	2.51688240170411	0.0	1.5003257659814961	
3	V6-R1	R0	R1	1.0	1.2727272727272732	4.666666666666668	4.666666666666668	5.716666666666669	2.3227272727272736	0.0	1.0500000000000007	2.322727272727274	0.0	1.3939393939393945	
13	V9-R2	R5	R2	1.0	1.6363636363636365	5.3939393939393945	5.3939393939393945	6.743939393939395	4.124132393298371	0.0	1.3500000000000005	2.986363636363637	0.0	1.7575757575757578	
23	V8-R2	R2	R2	1.0	0.0	3.4382075100649665	4.282099947000964	5.368621142804562	3.368621142804561	0.8438924369359979	1.0865211958035976	1.9304136327395955	0.0	1.4382075100649665	
4	V6-R1	R0	R1	1.0	1.3411259108539015	5.803463942919924	5.803463942919924	6.909892819374393	3.4975547873083705	0.0	1.1064288764544692	2.4475547873083707	0.0	1.4623380320660229	
24	V8-R2	R1	R2	1.0	1.3723080004907384	5.865828122193598	5.865828122193598	6.997982222598457	3.854462100895598	0.0	1.1321541004048594	2.504462100895598	0.0	1.4935201217028595	
5	V6-R1	R4	R1	1.0	1.2782409504798784	6.6776940221718775	6.6776940221718775	7.732242806317777	3.573802514162944	0.0	1.0545487841458998	2.332789734625778	0.0	1.3994530716919997	
25	V8-R2	R2	R2	1.0	0.0	5.394288139893416	5.394288139893416	6.4445758553054855	2.41890885821663	0.0	1.0502877154120691	1.0502877154120691	0.0	1.3942881398934164	
6	V6-R1	R4	R1	1.0	1.2727272727272732	7.666666666666668	7.732242806317777	8.782242806317777	3.618288836410339	0.06557613965110942	1.0499999999999998	2.3883034123783826	0.0	1.3939393939393945	
26	V8-R2	R2	R2	1.0	0.0	6.438771043750111	6.4445758553054855	7.531561966399327	2.5058949693104715	0.005804811555374378	1.0869861110938412	1.0927909226492156	0.0	1.438771043750111	
7	V6-R1	R0	R1	1.0	1.4866705193460346	9.09455315990419	9.09455315990419	10.32105633836467	3.6230665171809058	0.0	1.2265031784604794	2.713173697806514	0.0	1.6078826405581559	
27	V8-R2	R5	R2	1.0	1.35656844246662	8.834349006145361	8.834349006145361	9.953517971180322	3.219676801440976	0.0	1.1191689650349606	2.4757374075015806	0.0	1.477780563678741	
8	V6-R4	R7	R4	1.0	1.4652339702276485	10.051680061667419	10.051680061667419	11.26049808710523	2.6740519956654585	0.0	1.208818025437811	2.6740519956654594	0.0	1.5864460914397696	
28	V8-R2	R2	R2	1.0	0.0	8.455486673471235	8.455486673471235	9.556263179085002	1.6323384720130942	0.0	1.1007765056137675	1.1007765056137675	0.0	1.4554866734712342	
9	V6-R5	R8	R5	1.0	1.2727272727272732	10.666666666666668	10.666666666666668	11.716666666666669	2.3227272727272736	0.0	1.0500000000000007	2.322727272727274	0.0	1.3939393939393945	
29	V8-R2	R1	R2	1.0	1.2727272727272732	10.666666666666668	10.666666666666668	11.716666666666669	2.3227272727272736	0.0	1.0500000000000007	2.322727272727274	0.0	1.3939393939393945	
10	V6-R2	R2	R2	1.0	0.0	10.315991271375738	10.315991271375738	11.301684070260723	1.541955977969986	0.0	0.9856927988849851	0.9856927988849851	0.0	1.3159912713757387	
30	V8-R5	R4	R5	1.0	1.2727272727272732	11.666666666666668	11.666666666666668	12.716666666666669	2.322727272727275	0.0	1.0500000000000007	2.322727272727274	0.0	1.3939393939393945	
