
1.1.true
Vehicle TOPO

ReqID,	a(SrcNode),	i(DesNode),	k(Path),	p(Ratio),	dtTrans,	tArrival,	start,	end,	timeSer(PSO),	t_wait,	t_proc,	t_serv,	moved_data,
4,	V6,	V11,	V6,	0.04002809174640093,	0.08005618349280186,	3.0800561834928017,	3.242424242424242,	3.9028877562398576,	0.8617318185205383,	0.16236805893144046,	0.6604635138156154,	0.9028877562398577,	0.0
24,	V9,	V3,	V9,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	4.910424186618938,	5.910424186618938,	3.910424186618939,	1.7892120654068169,	1.0,	2.910424186618938,	0.0
24,	V9,	V4,	V9,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	6.242424242424242,	7.242424242424242,	4.242424242424242,	3.121212121212121,	1.0,	4.242424242424242,	0.0
24,	V9,	V9,	V9,	0.7575757575757578,	0.0,	3.0,	3.0,	4.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
24,	V9,	V13,	V9,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	6.242424242424242,	7.242424242424242,	4.242424242424242,	3.121212121212121,	1.0,	4.242424242424242,	0.0
24,	V9,	V14,	V9,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	6.242424242424242,	7.242424242424242,	4.242424242424242,	3.121212121212121,	1.0,	4.242424242424242,	0.0
44,	V8,	V3,	V8,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	5.910424186618938,	6.910424186618938,	3.910424186618939,	2.789212065406817,	1.0,	3.910424186618938,	0.0
44,	V8,	V4,	V8,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	5.242424242424242,	6.242424242424242,	4.242424242424242,	2.121212121212121,	1.0,	3.242424242424242,	0.0
44,	V8,	V7,	V8,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	5.814244960357567,	6.814244960357567,	4.856018548851877,	2.693032839145446,	1.0,	3.814244960357567,	0.0
44,	V8,	V8,	V8,	0.6969696969696972,	0.0,	3.0,	3.0,	4.0,	11.500000000000005,	0.0,	1.0,	1.0,	318.1818181818183
44,	V8,	V13,	V8,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	5.242424242424242,	6.242424242424242,	4.242424242424242,	2.121212121212121,	1.0,	3.242424242424242,	0.0
44,	V8,	V14,	V8,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	5.242424242424242,	6.242424242424242,	4.242424242424242,	2.121212121212121,	1.0,	3.242424242424242,	0.0
5,	V6,	V0,	V6,	0.0606060606060606,	0.1212121212121212,	4.121212121212121,	4.242424242424242,	5.242424242424242,	1.121212121212121,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
5,	V6,	V1,	V6,	0.0606060606060606,	0.1212121212121212,	4.121212121212121,	4.242424242424242,	5.242424242424242,	1.242424242424242,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
5,	V6,	V5,	V6,	0.0606060606060606,	0.1212121212121212,	4.121212121212121,	4.186374860275242,	5.186374860275242,	1.1863748602752422,	0.06516273906312087,	1.0,	1.186374860275242,	0.0
5,	V6,	V6,	V6,	0.7529109134741334,	0.0,	4.0,	4.0,	5.0,	12.423030072323202,	0.0,	1.0,	1.0,	346.1524264340364
5,	V6,	V7,	V6,	0.008621481348904317,	0.017242962697808638,	4.017242962697809,	7.814244960357567,	7.956499402614488,	3.8943038325944856,	3.797001997659758,	0.1422544422569212,	3.956499402614488,	0.0
5,	V6,	V11,	V6,	0.0566494233587806,	0.1132988467175612,	4.113298846717561,	4.113298846717561,	5.161313178855003,	1.0480143321374413,	0.0,	1.0480143321374413,	1.1613131788550026,	0.0
25,	V9,	V3,	V9,	0.0606060606060606,	0.1212121212121212,	4.121212121212121,	7.910424186618938,	8.910424186618938,	4.910424186618939,	3.789212065406817,	1.0,	4.910424186618938,	0.0
25,	V9,	V4,	V9,	0.0606060606060606,	0.1212121212121212,	4.121212121212121,	7.242424242424242,	8.242424242424242,	5.242424242424241,	3.121212121212121,	1.0,	4.242424242424242,	0.0
25,	V9,	V9,	V9,	0.7575757575757578,	0.0,	4.0,	4.0,	5.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
25,	V9,	V13,	V9,	0.0606060606060606,	0.1212121212121212,	4.121212121212121,	7.242424242424242,	8.242424242424242,	5.242424242424241,	3.121212121212121,	1.0,	4.242424242424242,	0.0
25,	V9,	V14,	V9,	0.0606060606060606,	0.1212121212121212,	4.121212121212121,	7.242424242424242,	8.242424242424242,	5.242424242424241,	3.121212121212121,	1.0,	4.242424242424242,	0.0
45,	V8,	V3,	V8,	0.0606060606060606,	0.1212121212121212,	4.121212121212121,	6.910424186618938,	7.910424186618938,	4.910424186618939,	2.789212065406817,	1.0,	3.910424186618938,	0.0
45,	V8,	V4,	V8,	0.0606060606060606,	0.1212121212121212,	4.121212121212121,	8.242424242424242,	9.242424242424242,	5.242424242424241,	4.121212121212121,	1.0,	5.242424242424242,	0.0
45,	V8,	V8,	V8,	0.7575757575757578,	0.0,	4.0,	4.0,	5.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
45,	V8,	V13,	V8,	0.0606060606060606,	0.1212121212121212,	4.121212121212121,	8.242424242424242,	9.242424242424242,	5.242424242424241,	4.121212121212121,	1.0,	5.242424242424242,	0.0
45,	V8,	V14,	V8,	0.0606060606060606,	0.1212121212121212,	4.121212121212121,	8.242424242424242,	9.242424242424242,	5.242424242424241,	4.121212121212121,	1.0,	5.242424242424242,	0.0
6,	V6,	V0,	V6,	0.0606060606060606,	0.1212121212121212,	5.121212121212121,	5.242424242424242,	6.242424242424242,	1.121212121212121,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
6,	V6,	V1,	V6,	0.0606060606060606,	0.1212121212121212,	5.121212121212121,	5.242424242424242,	6.242424242424242,	1.242424242424242,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
6,	V6,	V5,	V6,	0.0606060606060606,	0.1212121212121212,	5.121212121212121,	5.186374860275242,	6.186374860275242,	1.1863748602752422,	0.06516273906312087,	1.0,	1.186374860275242,	0.0
6,	V6,	V6,	V6,	0.7247932793153158,	0.0,	5.0,	5.0,	6.0,	11.959089108702711,	0.0,	1.0,	1.0,	332.0936093546276
6,	V6,	V7,	V6,	0.032782478260442054,	0.06556495652088411,	5.065564956520884,	7.956499402614488,	8.497410293911782,	3.483536717714854,	2.8909344460936044,	0.540910891297294,	3.4974102939117824,	0.0
6,	V6,	V11,	V6,	0.0606060606060606,	0.1212121212121212,	5.121212121212121,	5.161313178855003,	6.161313178855003,	1.121212121212121,	0.04010105764288152,	1.0,	1.1613131788550026,	0.0
26,	V9,	V3,	V9,	0.0606060606060606,	0.1212121212121212,	5.121212121212121,	8.910424186618938,	9.910424186618938,	5.91042418661894,	3.789212065406817,	1.0,	4.910424186618938,	0.0
26,	V9,	V4,	V9,	0.0606060606060606,	0.1212121212121212,	5.121212121212121,	9.242424242424242,	10.242424242424242,	6.242424242424242,	4.121212121212121,	1.0,	5.242424242424242,	0.0
26,	V9,	V9,	V9,	0.7575757575757578,	0.0,	5.0,	5.0,	6.0,	12.500000000000004,	0.0,	1.0,	1.0,	348.48484848484856
26,	V9,	V13,	V9,	0.0606060606060606,	0.1212121212121212,	5.121212121212121,	9.242424242424242,	10.242424242424242,	6.242424242424242,	4.121212121212121,	1.0,	5.242424242424242,	0.0
26,	V9,	V14,	V9,	0.0606060606060606,	0.1212121212121212,	5.121212121212121,	9.242424242424242,	10.242424242424242,	6.242424242424242,	4.121212121212121,	1.0,	5.242424242424242,	0.0
